y/h,y^+,U,u'u',v'v',w'w',-Om_z+,om_x'+,om_y'+,om_z'+,u'v',u'w',v'w',pr'+,ps'+,psto'+,p',k,dU/dy
0.31640773,295.51337,19.312191,1.6278205,0.968759,1.1246928,0.0099768359,0.048559781,0.045091331,0.044913296,-0.67284912,-0.0066730306,0.00070299226,0.92424029,1.4820837,0.034186188,1.8121505,1.86063615,0.009977582643265981
0.32240169,301.11151,19.367615,1.619771,0.96518368,1.1193109,0.0098272441,0.048000265,0.044570889,0.044397235,-0.66694665,-0.0066610621,0.00069603079,0.91709292,1.4708666,0.033973016,1.7986372,1.8521327900000002,0.009826863281772402
0.32844107,306.75208,19.422626,1.6116656,0.9615804,1.1138985,0.0096749738,0.047440261,0.044057924,0.043887861,-0.66101789,-0.0065837121,0.00066036411,0.90994596,1.4597244,0.033765215,1.7852014,1.84357225,0.009674906747774825
0.33452535,312.43457,19.477158,1.6035192,0.95794708,1.1084284,0.0095205139,0.046885174,0.04355238,0.043383956,-0.65507209,-0.0064330171,0.00059681985,0.90279734,1.4486229,0.033562981,1.7718095,1.8349473399999998,0.00952047564953129
0.3406542,318.15869,19.531216,1.5953645,0.95429206,1.1029226,0.0093638524,0.046335019,0.043055035,0.042878374,-0.64910758,-0.0062141377,0.00050988444,0.89565432,1.4375597,0.033365794,1.7584651,1.82628958,0.009365031674665847
0.34682722,323.92407,19.584751,1.5871905,0.95061809,1.0974238,0.0092131402,0.045802549,0.04256675,0.04238287,-0.64312613,-0.0059841741,0.00041051136,0.88851869,1.4265361,0.033173859,1.7451715,1.817616195,0.009214464969928615
0.35304393,329.73026,19.637836,1.5789737,0.94692397,1.091978,0.0090696337,0.045284215,0.04208792,0.041910995,-0.63712788,-0.0058033252,0.00031143523,0.8813982,1.4155668,0.032986671,1.7319437,1.808937835,0.009071518287707692
0.35930384,335.57678,19.690453,1.5707201,0.94319457,1.0866008,0.0089350585,0.044779088,0.041616965,0.041453671,-0.63108432,-0.0057300604,0.00022634817,0.87429214,1.4046329,0.032804448,1.7187608,1.8002577350000002,0.00893637548917492
0.36560672,341.46344,19.742683,1.5624167,0.93941927,1.0812695,0.0088076973,0.044278439,0.041153338,0.040995438,-0.62495577,-0.0057111247,0.0001467523,0.86720419,1.3936865,0.032626696,1.7055763,1.7915527350000002,0.008809076814465078
0.37195213,347.38983,19.79451,1.5540274,0.93559444,1.075946,0.008686766,0.043782882,0.040696397,0.040545091,-0.61873132,-0.005707826,7.2097173e-05,0.86012971,1.3827009,0.032453641,1.6923532,1.78278392,0.008687023752294909
